Indicator,Disaggregation combinations using this value
#1-3-3,2
#1-4-1,3
#1-4-3,4
#1-4-4,6
#1-4-5,1
#1-4-6,5
#1-4-7,6
#1-b-1,1
#10-1-1,3
#10-4-1,1
#10-b-1,1
#11-1-1,1
#11-4-1,1
#12-1-1,1
#12-2-1,1
#12-5-3,1
#14-7-1,1
#15-a-1,1
#15-b-1,1
#16-1-1,1
#16-1-3,5
#16-1-4,5
#16-2-3,1
#16-3-1,1
#16-3-2,2
#16-3-3,1
#16-3-4,1
#16-3-5,1
#16-3-6,1
#16-5-1,1
#16-5-2,1
#16-5-3,1
#16-5-5,1
#16-6-1,1
#16-6-4,1
#16-6-5,1
#16-9-1,1
#16-a-1,1
#16-b-1,1
#17-1-1,3
#17-1-2,1
#17-19-2,2
#17-3-1,1
#17-3-2,1
#17-4-1,2
#17-8-1,5
#2-1-1,3
#3-1-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,1
#3-3-6,1
#3-3-7,13
#3-8-2,1
#3-8-4,1
#4-1-1,9
#4-1-2,6
#4-1-3,3
#4-1-4,9
#4-1-5,9
#4-4-1,1
#4-4-3,3
#4-5-1,2
#4-a-1,6
#5-1-1,1
#5-1-2,1
#5-1-3,3
#5-5-1,1
#5-5-2,1
#5-6-1,1
#5-b-1,5
#6-1-1,1
#6-1-2,4
#6-1-3,3
#6-2-1,3
#6-2-2,3
#6-a-1,1
#7-1-1,3
#7-1-3,1
#7-1-4,1
#7-1-5,1
#8-1-1,1
#8-2-1,1
#8-a-1,1
#9-a-1,1
#9-c-1,2
