Indicator,Disaggregation combinations using this value
#1-3-3,1
#1-4-4,3
#1-4-6,1
#10-2-1,1
#11-4-1,1
#12-1-1,1
#12-2-1,1
#12-5-3,1
#16-3-1,1
#16-3-2,1
#16-3-3,1
#16-3-4,1
#16-3-5,1
#16-3-6,1
#16-4-2,3
#16-5-1,1
#16-5-3,1
#16-6-4,1
#16-6-5,1
#16-a-1,1
#17-1-1,3
#2-2-1,3
#2-2-2,1
#2-2-3,1
#3-1-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,1
#3-3-6,1
#3-3-7,11
#3-8-2,1
#3-b-2,1
#3-c-1,2
#4-1-1,9
#4-1-2,9
#4-1-3,2
#4-1-4,9
#4-1-5,9
#4-4-1,4
#4-a-1,6
#5-1-2,1
#5-1-3,3
#5-5-1,1
#5-6-1,1
#7-1-3,1
#7-1-4,1
#7-1-5,1
#9-1-1,1
